surgery,age,hospital_number,rectal_temperature,pulse,respiratory_rate,temperature_of_extremities,peripheral_pulse,mucous_membranes,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,rectal_examination_feces,abdomen,lesion_site,lesion_type,lesion_subtype,PossibleY,PossibleY2,PossibleY3
2,1,533793,38.9,44,14,3,1,1,2,3,2,,,,2,0,0,0,2,2,1
1,1,529399,39.3,,,4,3,6,4,4,2,1,3,4,4,2207,0,0,1,1,2
1,1,533836,,100,,3,3,4,,4,4,2,1,,,2209,0,0,1,2,1
2,1,528804,38.6,48,20,3,1,1,1,3,2,2,1,3,2,3111,0,0,2,1,1
2,1,535163,38.8,48,40,1,1,3,3,3,4,2,,,5,4124,0,0,1,2,1
2,1,528247,38,48,20,3,3,4,1,4,2,2,,,2,400,0,0,2,1,1
2,1,528996,38.6,52,20,1,1,1,3,3,2,1,1,1,3,0,0,0,2,1,1
1,1,533928,37.8,60,24,1,,3,,4,4,2,3,,5,2205,0,0,1,2,3
2,1,528248,38,42,40,3,1,1,3,3,1,,,,,3111,0,0,2,2,1
2,1,528134,,,12,1,1,2,2,1,2,3,1,1,3,0,0,0,2,1,1
2,1,535176,39.5,60,10,3,,,3,3,2,2,1,3,,0,0,0,2,2,1
1,1,533942,38,66,20,1,3,3,5,3,1,1,1,3,,6209,0,0,1,2,3
1,1,528523,38.7,76,,1,1,5,3,3,2,2,2,4,4,2208,0,0,1,1,1
1,1,534925,39.4,120,48,,,5,,3,3,1,,4,,1400,0,0,2,2,3
1,1,527916,38.3,40,18,1,1,1,3,1,1,,,2,1,0,0,0,2,1,1
2,1,528299,,44,24,1,1,1,3,3,1,2,1,,1,3111,0,0,2,2,1
1,1,530254,38.4,104,40,1,1,3,2,4,2,2,3,,4,2124,0,0,1,2,1
1,1,535085,,65,24,,,,5,,4,3,1,,5,3205,0,0,1,2,3
2,1,532985,37.5,44,20,1,1,3,,1,1,,,1,,0,0,0,2,2,1
2,1,527677,39,86,16,3,3,5,3,3,3,,2,,,5400,0,0,1,1,2
1,1,535292,38.5,129,48,3,3,3,2,4,3,1,3,,,2206,0,0,1,2,1
1,1,529729,,104,,3,3,5,2,4,3,,3,4,4,2207,0,0,1,1,2
2,1,518476,,,,3,4,6,4,,4,,,,,3400,0,0,1,1,2
1,1,527929,,,,,,,,,,,,,,2208,0,0,1,2,1
1,1,535130,38.2,60,30,1,1,3,3,3,1,2,1,3,2,6112,0,0,1,2,1
1,1,523190,,68,14,,,4,4,,,,1,,,4205,0,0,1,1,2
1,1,533968,,60,30,3,3,4,5,4,4,1,1,4,,6111,3111,0,1,2,1
2,1,528151,38.5,100,,3,3,5,4,3,4,2,1,4,5,1111,0,0,2,1,3
1,1,530239,38.4,84,30,3,1,5,4,3,3,2,3,4,4,2300,0,0,1,2,2
2,1,528305,37.8,48,14,,,1,3,,2,1,3,1,,3111,0,0,2,1,1
1,1,5279822,38,,24,3,3,6,5,,4,1,1,,,2205,0,0,1,2,2
2,1,534857,37.8,56,16,1,1,2,2,1,1,2,1,1,,0,0,0,2,2,1
2,1,534053,38.2,68,32,2,2,2,1,1,1,3,1,1,1,0,0,0,2,2,1
1,1,534833,38.5,120,60,4,3,6,,3,,,,,,5400,0,0,1,2,1
1,1,5278331,39.3,64,90,2,3,1,,3,1,1,2,,,21110,0,0,1,2,1
1,1,527365,38.4,80,30,4,3,1,3,3,3,3,3,4,5,7209,0,0,1,1,1
1,1,533887,38.5,60,,1,1,,,1,1,,,,,4111,0,0,1,2,1
1,1,5299603,38.3,60,16,3,1,1,2,1,1,2,2,1,4,31110,0,0,1,2,1
1,1,528742,37.1,40,8,,1,4,3,3,1,1,1,3,3,3133,0,0,1,1,1
2,9,5287279,,100,44,2,1,1,4,1,1,,,1,,7111,0,0,2,2,1
1,1,534788,38.2,48,18,1,1,1,3,3,3,1,2,4,,5111,0,0,1,2,1
1,1,529373,,60,48,3,3,4,4,3,4,,,,,3205,0,0,1,2,2
2,1,534163,37.9,88,24,1,1,2,2,2,1,,,4,1,0,0,0,2,2,1
2,1,533697,38,44,12,3,1,1,,1,2,,,1,,0,0,0,2,2,1
2,1,529628,38.5,60,20,1,1,5,2,2,1,2,1,2,3,300,0,0,2,1,3
2,1,521399,38.5,96,36,3,3,,2,4,2,1,2,4,5,1400,0,0,1,1,2
2,1,533885,38.3,60,20,1,1,1,1,3,1,,,3,,0,0,0,2,2,1
2,1,534157,38.5,60,40,3,1,2,2,1,2,,,3,2,0,0,0,2,2,1
1,1,528047,37.3,48,12,1,,3,3,1,3,2,1,3,3,3205,0,0,1,1,1
1,1,528641,38.5,86,,1,1,3,4,4,3,2,1,3,5,3209,0,0,1,1,2
1,1,534073,37.5,48,40,,,,,,,1,1,,5,2208,0,0,1,2,3
2,1,529685,37.2,36,9,1,1,1,2,3,1,2,1,4,1,31110,0,0,2,2,1
1,1,529528,39.2,,23,3,1,3,4,4,2,2,,,,3115,0,0,1,1,1
2,1,528151,38.5,100,,3,3,5,4,3,4,2,1,4,5,4124,0,0,2,2,3
1,1,535137,38.5,96,30,2,3,4,4,4,3,2,1,3,5,6111,3112,0,1,2,1
1,1,535338,37.8,88,80,3,3,5,,3,3,2,3,4,5,3205,0,0,1,2,3
2,1,534478,37.5,44,10,3,1,1,3,1,2,2,,3,3,0,0,0,2,2,1
1,1,530401,37.9,68,20,,1,2,2,4,2,,,1,5,5400,0,0,1,1,2
1,1,529893,38,86,24,4,3,4,2,4,4,1,1,4,5,3111,0,0,1,1,2
1,9,5294369,38.9,120,30,1,3,2,3,3,3,3,1,,,2124,0,0,2,2,1
1,1,528183,37.6,45,12,3,1,3,,2,2,2,1,1,4,2112,0,0,1,1,1
2,1,529183,38.6,56,32,2,1,1,1,1,1,2,,2,,0,0,0,2,1,1
1,1,529135,37.8,40,12,1,1,1,1,2,1,2,1,1,2,3111,0,0,1,2,1
1,1,535240,38.1,40,36,1,2,2,2,2,,,,,,3112,0,0,1,2,3
1,1,529736,,52,28,3,3,4,3,4,3,2,1,4,4,2111,0,0,1,2,1
1,1,535029,39.2,88,58,4,4,,5,4,,,,,,3205,0,0,2,2,3
1,1,535031,38.5,92,40,4,3,,2,4,3,,,4,,2208,0,0,1,2,1
1,1,528800,,112,13,4,4,4,2,3,1,2,1,4,4,2205,0,0,1,1,1
1,1,528178,37.7,66,12,1,1,3,3,3,2,2,,4,4,2208,0,0,1,1,1
1,1,535392,38.8,50,14,1,1,1,3,1,1,1,1,3,5,3111,0,0,1,2,1
2,1,528931,38.4,54,24,1,1,1,1,3,1,2,1,3,2,3111,0,0,2,1,1
1,1,528503,39.2,120,20,4,3,5,2,3,3,1,3,,4,2205,0,0,1,2,2
1,1,535196,37.3,90,40,3,,6,5,4,3,2,2,1,5,3205,0,0,1,2,3
1,9,534597,38.5,120,70,,,,,1,,2,,1,,4205,3111,2209,1,2,1
1,1,534280,38.5,104,40,3,3,,4,3,4,,,,,2124,0,0,1,2,1
2,1,530028,39.5,92,28,3,3,6,5,4,1,,3,4,,3300,0,0,2,2,2
1,1,530526,38.3,72,30,4,3,3,3,3,3,2,1,3,5,3113,0,0,1,1,1
2,1,528729,37.5,48,30,4,1,3,,2,1,1,1,1,1,400,0,0,2,2,1
1,1,528469,38.1,52,24,1,1,5,4,3,1,2,3,1,,2206,0,0,1,1,2
2,1,528179,38.2,42,26,1,1,1,3,1,2,,,1,,3111,0,0,2,2,1
2,1,533750,37.9,54,42,2,1,5,3,1,1,,1,,2,0,0,0,2,2,1
2,1,528702,36.1,88,,3,3,3,3,3,2,2,3,,4,2209,0,0,1,1,3
1,1,534183,38.1,70,22,,1,,5,3,,,,,5,3205,0,0,1,2,3
1,1,529160,38,90,30,4,3,4,5,4,4,,,4,5,3205,0,0,1,2,2
1,1,529045,38.2,52,16,1,1,2,1,2,1,1,1,1,,0,0,0,2,1,1
1,1,530354,,36,32,1,1,4,5,3,3,2,3,,4,2205,0,0,1,2,2
1,1,5281091,38.4,92,20,1,,,,3,3,,,1,,2208,0,0,1,1,1
1,9,5291409,38.2,124,88,1,3,2,2,3,4,,,,,9400,0,0,1,1,1
2,1,528904,,96,,3,3,3,5,4,4,,1,4,5,41110,0,0,1,2,2
1,1,530366,37.6,68,32,3,,3,4,2,4,2,2,1,5,3209,0,0,1,2,1
1,1,530170,38.1,88,24,3,3,4,5,4,3,2,1,3,4,2209,0,0,1,2,2
1,1,527709,38,108,60,2,3,4,4,3,3,2,,3,4,2205,0,0,1,2,1
2,1,528169,38.2,48,,2,,1,3,3,1,2,1,,2,3111,0,0,2,2,1
1,1,535043,39.3,100,51,4,4,6,2,4,1,1,3,,4,2113,0,0,1,2,3
2,1,527940,36.6,42,18,3,3,2,1,4,1,1,1,,5,5111,0,0,1,2,2
1,9,5291719,38.8,124,36,3,1,2,2,3,4,1,1,4,4,2208,0,0,1,1,2
2,1,530561,,112,24,3,3,4,5,4,2,,,4,,400,0,0,2,1,1
1,1,533738,,80,,3,3,3,4,4,4,,,4,5,3111,0,0,1,2,1
1,9,5294539,38.8,184,84,1,,1,4,1,3,,,2,,7111,0,0,1,2,2
1,1,533871,37.5,72,,2,1,1,2,1,1,1,1,1,,7209,0,0,1,2,3
1,1,529812,38.7,96,28,3,3,4,,4,,,3,,,2205,0,0,1,1,2
2,1,534719,37.5,52,12,1,1,1,2,3,2,2,1,3,5,0,0,0,2,2,1
1,1,527734,40.8,72,42,3,3,1,2,3,1,2,1,,,11400,0,0,1,1,2
2,1,534933,38,40,25,,1,1,4,3,2,1,1,4,,0,0,0,2,2,1
2,1,529296,38.4,48,16,2,1,1,1,,2,2,1,,2,3111,0,0,2,1,1
1,1,528743,37.1,75,36,,,3,4,4,2,2,3,4,4,12208,0,0,1,1,2
1,1,530478,38.3,44,21,3,1,2,3,3,3,2,1,1,5,2209,0,0,1,1,1
2,1,528590,,56,68,3,1,1,3,3,1,2,1,1,,5206,0,0,1,2,3
2,1,529865,38.6,68,20,2,1,3,3,3,2,1,1,1,5,5124,0,0,2,1,1
2,1,527829,38.3,54,18,3,1,2,2,3,2,,3,,4,2124,0,0,2,1,1
1,1,534403,38.2,42,20,,,1,,3,,,,3,,0,0,0,2,2,1
1,1,527883,39.3,64,90,2,3,1,,3,1,1,2,1,5,31110,0,0,1,2,1
1,1,528570,37.5,60,50,3,3,1,3,3,2,2,2,3,4,2209,0,0,1,2,2
1,1,534626,37.7,80,,3,3,6,5,4,1,2,3,3,1,4206,0,0,1,2,1
1,1,529796,,100,30,3,3,4,5,4,4,3,3,4,4,2124,0,0,1,2,1
1,1,528638,37.7,120,28,3,3,3,5,3,3,1,1,,,4205,0,0,1,1,2
1,1,534624,,76,,,3,,,4,4,,,,5,11124,0,0,1,2,3
1,9,5297159,38.8,150,50,1,3,6,5,3,2,1,1,,,4207,0,0,1,2,2
1,1,534787,38,36,16,3,1,1,4,2,2,3,3,3,,3111,0,0,2,2,3
2,1,528620,36.9,50,40,2,3,3,1,3,2,3,1,,,3111,0,0,2,2,1
1,1,5283431,38.5,66,24,1,1,1,3,3,1,2,1,4,5,31110,0,0,1,1,1
2,1,5275212,37.8,82,12,3,1,1,4,,3,1,3,,,2205,0,0,1,2,3
1,1,529126,38,50,36,,1,1,3,2,2,,,3,,8400,0,0,1,1,1
2,1,535054,38.6,45,16,2,1,2,1,1,,,,1,1,0,0,0,2,2,1
1,1,528890,38.9,80,44,3,3,3,2,3,3,2,2,3,1,7111,0,0,1,2,2
1,1,530034,37,66,20,1,3,2,4,3,3,1,,1,5,31110,0,0,1,2,2
1,1,534004,,78,24,3,3,3,,3,,2,1,,4,2209,0,0,2,2,3
2,1,533902,38.5,40,16,1,1,1,2,1,1,,,3,2,0,0,0,2,2,1
1,1,533886,,120,70,4,,4,2,4,,,,,5,3205,0,0,2,2,3
2,1,527702,37.2,72,24,3,2,4,4,3,3,3,1,4,4,2208,0,0,1,1,3
1,1,529386,37.5,72,30,4,3,4,4,4,3,2,1,3,5,3205,0,0,1,2,2
1,1,530612,36.5,100,24,3,3,3,3,3,3,3,1,4,4,2208,0,0,1,1,1
